title,author,category,isbn,availability_status
Hooked Vol. 4,Cal Newport,Mystery,978-9780000000002,Available
Murder on the Orient Express,Brandon Sanderson,History,978-9780000000007,Available
Atomic Habits Vol. 2,Virginia Woolf,Programming,978-9780000000012,Available
Crossing the Chasm,Agatha Christie,Mystery,978-9780000000016,Available
The Pragmatic Programmer,George Orwell,Children,978-9780000000019,Available
Mort,Jane Austen,Fiction,978-9780000000020,Available
Guns Germs and Steel,Haruki Murakami,Romance,978-9780000000027,Available
Hidden Figures,Patrick Rothfuss,Education,978-9780000000028,Available
Zero to One,Terry Pratchett,Philosophy,978-9780000000033,Available
Deep Work Vol. 2,Philip K. Dick,Fantasy,978-9780000000034,Borrowed
Crime and Punishment,Charles Dickens,Philosophy,978-9780000000036,Available
American Gods,Isaac Asimov,History,978-9780000000041,Available
Why We Sleep,George Orwell,Poetry,978-9780000000045,Available
Hooked,Eric Ries,Thriller,978-9780000000052,Available
The Lean Startup,Robert C. Martin,Thriller,978-9780000000056,Available
Mort,Gabriel García Márquez,Thriller,978-9780000000058,Available
Leonardo da Vinci,Margaret Atwood,Poetry,978-9780000000060,Available
Code Complete,Toni Morrison,Romance,978-9780000000066,Available
Getting Things Done,Eric Ries,Business,978-9780000000071,Available
David and Goliath Vol. 2,Yuval Noah Harari,Science,978-9780000000078,Available
Deep Survival Vol. 3,Haruki Murakami,Poetry,978-9780000000083,Available
Make Time,Andrew Hunt,Fiction,978-9780000000089,Borrowed
David and Goliath,Margaret Atwood,Thriller,978-9780000000090,Available
The Handmaid's Tale,Arthur C. Clarke,Romance,978-9780000000095,Available
The Demon-Haunted World,Terry Pratchett,Fantasy,978-9780000000102,Available
The War of Art,Leo Tolstoy,Science,978-9780000000107,Borrowed
Surely You're Joking Mr. Feynman,Haruki Murakami,Thriller,978-9780000000111,Available
Homo Deus,Neil Gaiman,Fantasy,978-9780000000113,Available
The 4-Hour Workweek,Erich Gamma,Reference,978-9780000000120,Available
Blink,Yuval Noah Harari,Business,978-9780000000126,Available
Make Time,Virginia Woolf,Children,978-9780000000128,Borrowed
David and Goliath,Harper Lee,Fantasy,978-9780000000132,Borrowed
Crossing the Chasm,Brandon Sanderson,Poetry,978-9780000000133,Available
Deep Work,Gabriel García Márquez,Mystery,978-9780000000138,Available
A Brief History of Time,Robert C. Martin,Mystery,978-9780000000139,Borrowed
Becoming Vol. 2,Cal Newport,Reference,978-9780000000141,Available
Switch,Gabriel García Márquez,Reference,978-9780000000143,Available
Alexander Hamilton,James Clear,Children,978-9780000000146,Available
The Immortal Life of Henrietta Lacks,Robert C. Martin,Fiction,978-9780000000147,Available
The Body,James Clear,Mystery,978-9780000000149,Available
Just Mercy Vol. 2,Cal Newport,Poetry,978-9780000000151,Borrowed
A Brief History of Time,Terry Pratchett,Fiction,978-9780000000152,Available
Sleep Smarter,Erich Gamma,Mystery,978-9780000000154,Available
A Short History of Nearly Everything,Fyodor Dostoevsky,Self-help,978-9780000000156,Available
Einstein,Frank Herbert,Poetry,978-9780000000159,Available
Decisive,Toni Morrison,Reference,978-9780000000161,Available
Mort,Gabriel García Márquez,Self-help,978-9780000000167,Available
To Kill a Mockingbird,Virginia Woolf,Science,978-9780000000168,Borrowed
Pride and Prejudice,Erich Gamma,History,978-9780000000174,Borrowed
Hamilton Vol. 4,Eric Ries,Self-help,978-9780000000179,Available
High Output Management,Virginia Woolf,Thriller,978-9780000000182,Available
Made to Stick,Cal Newport,Education,978-9780000000184,Available
Drive,Patrick Rothfuss,History,978-9780000000185,Available
The 4-Hour Workweek,Erich Gamma,Biography,978-9780000000190,Available
Behave,Brandon Sanderson,Mystery,978-9780000000193,Available
Born a Crime,Isaac Asimov,Fantasy,978-9780000000198,Borrowed
Crossing the Chasm,Ursula K. Le Guin,Fantasy,978-9780000000204,Available
Beloved,Brandon Sanderson,Fiction,978-9780000000210,Available
Pragmatic Thinking,Harper Lee,Thriller,978-9780000000212,Available
Domain-Driven Design,Cal Newport,Self-help,978-9780000000213,Available
The Power of Habit Vol. 3,Philip K. Dick,Business,978-9780000000219,Borrowed
The Handmaid's Tale,Toni Morrison,Children,978-9780000000224,Available
A Brief History of Time,Isaac Asimov,Business,978-9780000000229,Available
Factfulness,Yuval Noah Harari,Children,978-9780000000231,Available
Homo Deus,Frank Herbert,Self-help,978-9780000000234,Available
Code Complete,Leo Tolstoy,Children,978-9780000000239,Available
Refactoring,Frank Herbert,Science,978-9780000000243,Available
The Tipping Point,Frank Herbert,Children,978-9780000000250,Available
The Tipping Point,Cal Newport,Science,978-9780000000257,Available
Steve Jobs,Terry Pratchett,Reference,978-9780000000259,Available
Hidden Figures,Neil Gaiman,Mystery,978-9780000000261,Available
Do Androids Dream of Electric Sheep?,Cal Newport,History,978-9780000000268,Available
Lean Analytics,Ursula K. Le Guin,Thriller,978-9780000000269,Available
Domain-Driven Design,Cal Newport,Self-help,978-9780000000270,Available
Behave,Jane Austen,Children,978-9780000000275,Borrowed
Great Expectations,Gabriel García Márquez,Biography,978-9780000000278,Available
Unbroken Vol. 4,Ursula K. Le Guin,Biography,978-9780000000281,Available
Measure What Matters,Haruki Murakami,Thriller,978-9780000000287,Borrowed
Switch,Virginia Woolf,Fantasy,978-9780000000293,Available
Hamilton,Toni Morrison,Business,978-9780000000295,Available
Steve Jobs,Brandon Sanderson,Science,978-9780000000300,Available
Hamilton,Andrew Hunt,Fantasy,978-9780000000303,Available
Getting Things Done,Jane Austen,Poetry,978-9780000000307,Available
Mort,Frank Herbert,Science,978-9780000000313,Available
The Code Book,Haruki Murakami,Thriller,978-9780000000314,Borrowed
David and Goliath,Stephen Hawking,Mystery,978-9780000000321,Available
Atomic Habits Vol. 3,Haruki Murakami,History,978-9780000000325,Available
Zero to One,Isaac Asimov,Education,978-9780000000329,Available
One Hundred Years of Solitude,Andrew Hunt,Fiction,978-9780000000336,Available
Foundation,Isaac Asimov,Poetry,978-9780000000337,Available
Adventures of Tom Sawyer,Frank Herbert,Poetry,978-9780000000343,Available
Essentialism,Philip K. Dick,Poetry,978-9780000000348,Borrowed
The Demon-Haunted World,Patrick Rothfuss,Poetry,978-9780000000350,Available
The Selfish Gene,Philip K. Dick,Mystery,978-9780000000357,Available
Six Easy Pieces,Eric Ries,Romance,978-9780000000361,Available
"Thinking, Fast and Slow",Jane Austen,Thriller,978-9780000000366,Available
