title,author,category,isbn,availability_status
Hooked Vol. 4,Charles Dickens,Business,978-9780000000002,Available
The Hard Thing About Hard Things,Terry Pratchett,Self-help,978-9780000000007,Available
Mort,Fyodor Dostoevsky,Economics,978-9780000000012,Available
Sleep Smarter,Albert Camus,Programming,978-9780000000015,Available
The Handmaid's Tale,Agatha Christie,Thriller,978-9780000000017,Available
Steve Jobs Vol. 4,Virginia Woolf,Self-help,978-9780000000022,Available
Why We Sleep Vol. 5,Suzanne Collins,Fantasy,978-9780000000023,Borrowed
On Writing,Carl Sagan,History,978-9780000000025,Available
The Name of the Wind,Charles Dickens,Fiction,978-9780000000032,Available
Hidden Figures,Isaac Asimov,Biography,978-9780000000035,Available
Start with Why,Bill Bryson,Science,978-9780000000040,Available
Code Complete,Trevor Noah,Cooking,978-9780000000046,Available
Educated,Jean-Paul Sartre,Self-help,978-9780000000048,Borrowed
Hamilton,Carl Sagan,Thriller,978-9780000000053,Available
The Gene,Stephen Hawking,Romance,978-9780000000057,Available
Outliers,Terry Pratchett,Art,978-9780000000062,Available
Mistborn,George Orwell,Self-help,978-9780000000066,Borrowed
Norwegian Wood,Malcolm Gladwell,History,978-9780000000070,Available
Deep Survival,Andrew Hunt,Psychology,978-9780000000075,Available
Built to Last,Michelle Obama,Thriller,978-9780000000082,Available
Unbroken (Annotated),Brian Greene,Science,978-9780000000087,Available
Murder on the Orient Express,Stephen King,Music,978-9780000000093,Available
Factfulness,Dan Brown,Programming,978-9780000000100,Available
Cosmos Vol. 4,Albert Camus,Fantasy,978-9780000000107,Available
Refactoring,Richard Feynman,Reference,978-9780000000108,Borrowed
Blink,J.R.R. Tolkien,Cooking,978-9780000000114,Available
Surely You Are Joking,J.K. Rowling,Politics,978-9780000000116,Available
Made to Stick,Arthur C. Clarke,Poetry,978-9780000000122,Borrowed
Just Mercy Vol. 3,Ursula K. Le Guin,Programming,978-9780000000123,Available
The Name of the Wind (Revised),Yuval Noah Harari,Self-help,978-9780000000125,Borrowed
A Brief History of Time,Agatha Christie,Cooking,978-9780000000129,Available
Range,J.R.R. Tolkien,Children,978-9780000000136,Available
Crime and Punishment,Patrick Rothfuss,Politics,978-9780000000140,Available
Crossing the Chasm (2nd Edition),Ursula K. Le Guin,Fiction,978-9780000000146,Available
